x,y,v
507337,2098037,376
508137,2098037,396
508937,2098037,402
509762,2098037,416
510562,2098037,392
511362,2098037,387
512162,2098037,391
512987,2098037,362
513787,2098037,339
514587,2098037,371
515387,2098037,359
516187,2098037,349
517012,2098037,338
517812,2098037,322
518612,2098037,348
519412,2098037,353
520212,2098037,328
521037,2098037,265
521837,2098037,312
522637,2098037,303
523437,2098037,302
524262,2098037,263
525062,2098037,261
525862,2098037,252
526662,2098037,273
527462,2098037,315
528287,2098037,330
529087,2098037,275
529887,2098037,329
530687,2098037,363
504112,2097212,281
504912,2097212,303
505737,2097212,319
506537,2097212,338
507337,2097212,354
508137,2097212,365
508937,2097212,379
509762,2097212,412
510562,2097212,402
511362,2097212,387
512162,2097212,353
512987,2097212,365
513787,2097212,322
514587,2097212,363
515387,2097212,322
516187,2097212,326
517012,2097212,326
517812,2097212,305
518612,2097212,340
519412,2097212,363
520212,2097212,332
521037,2097212,286
521837,2097212,275
522637,2097212,239
523437,2097212,269
524262,2097212,288
525062,2097212,283
525862,2097212,272
526662,2097212,318
527462,2097212,351
528287,2097212,327
529087,2097212,316
529887,2097212,282
530687,2097212,360
504112,2096387,271
504912,2096387,275
505737,2096387,329
506537,2096387,343
507337,2096387,344
508137,2096387,360
508937,2096387,385
509762,2096387,404
510562,2096387,387
511362,2096387,361
512162,2096387,361
512987,2096387,343
513787,2096387,298
514587,2096387,335
515387,2096387,313
516187,2096387,288
517012,2096387,291
517812,2096387,325
518612,2096387,342
519412,2096387,343
520212,2096387,286
521037,2096387,282
521837,2096387,226
522637,2096387,284
523437,2096387,261
524262,2096387,268
525062,2096387,279
525862,2096387,312
526662,2096387,341
527462,2096387,340
528287,2096387,342
529087,2096387,304
529887,2096387,284
530687,2096387,259
504112,2095562,231
504912,2095562,256
505737,2095562,289
506537,2095562,309
507337,2095562,325
508137,2095562,344
508937,2095562,364
509762,2095562,387
510562,2095562,363
511362,2095562,352
512162,2095562,330
512987,2095562,339
513787,2095562,295
514587,2095562,305
515387,2095562,272
516187,2095562,316
517012,2095562,331
517812,2095562,310
518612,2095562,310
519412,2095562,319
520212,2095562,259
521037,2095562,271
521837,2095562,293
522637,2095562,306
523437,2095562,315
524262,2095562,331
525062,2095562,323
525862,2095562,293
526662,2095562,316
527462,2095562,312
528287,2095562,337
529087,2095562,325
529887,2095562,327
530687,2095562,281
504112,2094737,207
504912,2094737,247
505737,2094737,288
506537,2094737,316
507337,2094737,323
508137,2094737,333
508937,2094737,351
509762,2094737,363
510562,2094737,344
511362,2094737,344
512162,2094737,325
512987,2094737,319
513787,2094737,276
514587,2094737,299
515387,2094737,326
516187,2094737,305
517012,2094737,291
517812,2094737,272
518612,2094737,268
519412,2094737,253
520212,2094737,255
521037,2094737,306
521837,2094737,330
522637,2094737,336
523437,2094737,336
524262,2094737,342
525062,2094737,341
525862,2094737,338
526662,2094737,315
527462,2094737,336
528287,2094737,349
529087,2094737,345
529887,2094737,347
530687,2094737,305
504112,2093912,216
504912,2093912,225
505737,2093912,251
506537,2093912,283
507337,2093912,311
508137,2093912,321
508937,2093912,317
509762,2093912,336
510562,2093912,321
511362,2093912,329
512162,2093912,308
512987,2093912,286
513787,2093912,280
514587,2093912,298
515387,2093912,312
516187,2093912,276
517012,2093912,271
517812,2093912,248
518612,2093912,218
519412,2093912,256
520212,2093912,294
521037,2093912,293
521837,2093912,318
522637,2093912,329
523437,2093912,310
524262,2093912,337
525062,2093912,347
525862,2093912,375
526662,2093912,346
527462,2093912,353
528287,2093912,353
529087,2093912,376
529887,2093912,319
530687,2093912,329
504112,2093087,215
504912,2093087,221
505737,2093087,225
506537,2093087,249
507337,2093087,266
508137,2093087,280
508937,2093087,293
509762,2093087,309
510562,2093087,316
511362,2093087,296
512162,2093087,284
512987,2093087,249
513787,2093087,288
514587,2093087,294
515387,2093087,310
516187,2093087,273
517012,2093087,243
517812,2093087,219
518612,2093087,287
519412,2093087,285
520212,2093087,307
521037,2093087,315
521837,2093087,302
522637,2093087,313
523437,2093087,317
524262,2093087,335
525062,2093087,339
525862,2093087,368
526662,2093087,378
527462,2093087,353
528287,2093087,381
529087,2093087,387
529887,2093087,329
530687,2093087,396
504112,2092262,268
504912,2092262,190
505737,2092262,230
506537,2092262,250
507337,2092262,252
508137,2092262,272
508937,2092262,301
509762,2092262,328
510562,2092262,306
511362,2092262,258
512162,2092262,250
512987,2092262,286
513787,2092262,310
514587,2092262,300
